snapped_at,price,market_cap,total_volume
2013-10-19 00:00:00 UTC,4.14912e-05,324373.63096903707,0.0
2013-10-20 00:00:00 UTC,4.32355e-05,338010.3749144791,0.0
2013-10-21 00:00:00 UTC,3.71158e-05,290167.23510011553,0.0
2013-10-22 00:00:00 UTC,3.5497e-05,277511.63389736076,0.0
2013-10-23 00:00:00 UTC,3.68963e-05,288451.20923516114,0.0
2013-10-24 00:00:00 UTC,4.25287e-05,332484.6897581048,0.0
2013-10-25 00:00:00 UTC,3.93488e-05,307624.5813763231,0.0
2013-10-26 00:00:00 UTC,3.50298e-05,273859.1164688423,0.0
2013-10-27 00:00:00 UTC,3.61604e-05,282698.02309322724,0.0
2013-10-28 00:00:00 UTC,3.20498e-05,250561.80198719894,0.0
2013-10-29 00:00:00 UTC,2.91758e-05,228093.18981447967,0.0
2013-10-30 00:00:00 UTC,2.96665e-05,231929.42559439014,0.0
2013-10-31 00:00:00 UTC,2.94608e-05,230321.2867728693,0.0
2013-11-01 00:00:00 UTC,3.0179e-05,235936.0959589719,0.0
2013-11-02 00:00:00 UTC,3.15711e-05,246819.37858339763,0.0
2013-11-03 00:00:00 UTC,3.37243e-05,263652.85991804354,0.0
2013-11-04 00:00:00 UTC,3.17022e-05,247844.30398888516,0.0
2013-11-05 00:00:00 UTC,3.03243e-05,237072.03612062286,0.0
2013-11-06 00:00:00 UTC,2.966e-05,231878.61304826892,0.0
2013-11-07 00:00:00 UTC,2.97106e-05,232274.19639865193,0.0
2013-11-08 00:00:00 UTC,3.16453e-05,247399.46832450732,0.0
2013-11-09 00:00:00 UTC,2.57851e-05,201585.0692217927,0.0
2013-11-11 00:00:00 UTC,2.65075e-05,207232.71343277078,0.0
2013-11-12 00:00:00 UTC,2.55664e-05,199875.29878990483,0.0
2013-11-13 00:00:00 UTC,2.87557e-05,224808.89369718076,0.0
2013-11-14 00:00:00 UTC,2.49874e-05,195348.73999530115,0.0
2013-11-15 00:00:00 UTC,2.30724e-05,180377.48103099852,0.0
2013-11-16 00:00:00 UTC,2.3203e-05,181398.49723811203,0.0
2013-11-17 00:00:00 UTC,2.21777e-05,173382.81378711702,0.0
2013-11-18 00:00:00 UTC,2.02531e-05,158336.5035588026,0.0
2013-11-19 00:00:00 UTC,1.24036e-05,96969.97737274997,0.0
2013-11-20 00:00:00 UTC,1.26254e-05,98703.98661179325,0.0
2013-11-22 00:00:00 UTC,1.3075e-05,102218.90867317798,0.0
2013-11-23 00:00:00 UTC,1.22537e-05,95798.07568913004,0.0
